"name,college,college,college,college,college,college,college,college,college",college
"U1313,longwood university,longwood university,longwood university,longwood university,longwood university,,,,",
"U8804,universit&#xe0; di bologna,universit&#xe0; di bologna,universit&#xe0; di bologna,universit&#xe0; di bologna,universit&#xe0; di bologna,longwood university,longwood university,longwood university,longwood university",longwood university
"U2136,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,universit&#xe0; di bologna,universit&#xe0; di bologna,universit&#xe0; di bologna,universit&#xe0; di bologna",universit&#xe0; di bologna
"U6021,illinois wesleyan university,illinois wesleyan university,illinois wesleyan university,illinois wesleyan university,illinois wesleyan university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U7310,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,illinois wesleyan university,university of illinois at urbana-champaign",illinois wesleyan university
"U22859,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U25611,university of southern maine,university of southern maine,university of southern maine,university of southern maine,university of southern maine,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras",indian institute of technology madras
"U25611,penn high school,penn high school,penn high school,penn high school,penn high school,university of southern maine,university of southern maine,university of southern maine,university of southern maine",university of southern maine
"U2631,beihang university,beihang university,beihang university,beihang university,beihang university,penn high school,penn high school,penn high school,penn high school",penn high school
"U3895,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,beihang university,beihang university,beihang university,beihang university",beihang university
"U13005,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U9709,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U9140,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U15272,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;,sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;",sao paulo state university (unesp) &quot;j&#xfa;lio de mesquita filho&quot;
"U3933,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology",bangladesh university of engineering and technology
"U2622,wuhan university,wuhan university,wuhan university,wuhan university,wuhan university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U11562,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,zhejiang university,zhejiang university,wuhan university,zhejiang university",wuhan university
"U22071,illinois wesleyan university,illinois wesleyan university,illinois wesleyan university,illinois wesleyan university,illinois wesleyan university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U15292,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,university of illinois at urbana-champaign,university of illinois at urbana-champaign,illinois wesleyan university,university of illinois at urbana-champaign",illinois wesleyan university
"U1196,cornell university,cornell university,cornell university,cornell university,cornell university,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology",bangladesh university of engineering and technology
"U21990,university of illinois at urbana-champaign - college of business,university of illinois at urbana-champaign - college of business,university of illinois at urbana-champaign - college of business,university of illinois at urbana-champaign - college of business,university of illinois at urbana-champaign - college of business,cornell university,cornell university,cornell university,cornell university",cornell university
"U16101,tongji university,tongji university,tongji university,tongji university,tongji university,university of illinois at urbana-champaign - college of business,university of illinois at urbana-champaign - college of business,university of illinois at urbana-champaign - college of business,university of illinois at urbana-champaign - college of business",university of illinois at urbana-champaign - college of business
"U7347,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,tongji university,tongji university,tongji university,tongji university",tongji university
"U24252,isfahan university of technology,isfahan university of technology,isfahan university of technology,isfahan university of technology,isfahan university of technology,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U12969,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,isfahan university of technology,isfahan university of technology,isfahan university of technology,isfahan university of technology",isfahan university of technology
"U2180,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U7270,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U27582,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U21995,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U27283,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U5981,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U4517,xi'an jiaotong university,xi'an jiaotong university,xi'an jiaotong university,xi'an jiaotong university,xi'an jiaotong university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U1199,state university of new york college at plattsburgh,state university of new york college at plattsburgh,state university of new york college at plattsburgh,state university of new york college at plattsburgh,state university of new york college at plattsburgh,xi'an jiaotong university,xi'an jiaotong university,xi'an jiaotong university,xi'an jiaotong university",xi'an jiaotong university
"U22747,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,state university of new york college at plattsburgh,state university of new york college at plattsburgh,state university of new york college at plattsburgh,state university of new york college at plattsburgh",state university of new york college at plattsburgh
"U22747,birla institute of technology,birla institute of technology,birla institute of technology,birla institute of technology,birla institute of technology,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U25619,university of west indies st. augustine campus,university of west indies st. augustine campus,university of west indies st. augustine campus,university of west indies st. augustine campus,university of west indies st. augustine campus,birla institute of technology,birla institute of technology,birla institute of technology,birla institute of technology",birla institute of technology
"U2661,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,university of west indies st. augustine campus,university of west indies st. augustine campus,university of west indies st. augustine campus,university of west indies st. augustine campus",university of west indies st. augustine campus
"U18916,beijing university of civil engineering and architecture,beijing university of civil engineering and architecture,beijing university of civil engineering and architecture,beijing university of civil engineering and architecture,beijing university of civil engineering and architecture,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U7349,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,beijing university of civil engineering and architecture,beijing university of civil engineering and architecture,beijing university of civil engineering and architecture,beijing university of civil engineering and architecture",beijing university of civil engineering and architecture
"U15919,indian institute of technology bombay,indian institute of technology bombay,indian institute of technology bombay,indian institute of technology bombay,indian institute of technology bombay,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U11591,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,indian institute of technology bombay,indian institute of technology bombay,indian institute of technology bombay,indian institute of technology bombay",indian institute of technology bombay
"U11591,beijing language and culture university,beijing language and culture university,beijing language and culture university,beijing language and culture university,beijing language and culture university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U27585,east china normal university software engineering institute,east china normal university software engineering institute,east china normal university software engineering institute,east china normal university software engineering institute,east china normal university software engineering institute,beijing language and culture university,beijing language and culture university,beijing language and culture university,beijing language and culture university",beijing language and culture university
"U3894,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,east china normal university software engineering institute,east china normal university software engineering institute,east china normal university software engineering institute,east china normal university software engineering institute",east china normal university software engineering institute
"U16204,peking university,peking university,peking university,peking university,peking university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U27704,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,peking university,peking university,peking university,peking university",peking university
"U1441,university of delaware,university of delaware,university of delaware,university of delaware,university of delaware,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U2714,zhejiang university,zhejiang university,zhejiang university,zhejiang university,,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of delaware,university of delaware",university of delaware
"U9128,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,,,,",
"U25641,allegheny college,allegheny college,allegheny college,allegheny college,allegheny college,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U15334,bangladesh university of engineering and technology (buet),bangladesh university of engineering and technology (buet),bangladesh university of engineering and technology (buet),bangladesh university of engineering and technology (buet),bangladesh university of engineering and technology (buet),allegheny college,allegheny college,allegheny college,allegheny college",allegheny college
"U9667,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,bangladesh university of engineering and technology (buet),bangladesh university of engineering and technology (buet),bangladesh university of engineering and technology (buet),bangladesh university of engineering and technology (buet)",bangladesh university of engineering and technology (buet)
"U7379,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U15289,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U13959,sharif university of technology,sharif university of technology,sharif university of technology,sharif university of technology,sharif university of technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology",bangladesh university of engineering and technology
"U27742,peking university,peking university,peking university,peking university,peking university,sharif university of technology,sharif university of technology,sharif university of technology,sharif university of technology",sharif university of technology
"U27742,huazhong university of science and technology,huazhong university of science and technology,huazhong university of science and technology,huazhong university of science and technology,huazhong university of science and technology,peking university,peking university,peking university,peking university",peking university
"U7317,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,huazhong university of science and technology,huazhong university of science and technology,huazhong university of science and technology,huazhong university of science and technology",huazhong university of science and technology
"U3958,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U14117,university of athens,university of athens,university of athens,university of athens,university of athens,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U24046,fudan university,fudan university,fudan university,fudan university,fudan university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of athens,university of athens",university of athens
"U11564,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,fudan university,fudan university,fudan university,fudan university",fudan university
"U1238,university of southern maine,university of southern maine,university of southern maine,university of southern maine,university of southern maine,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U7909,southwestern university,southwestern university,southwestern university,southwestern university,southwestern university,university of southern maine,university of southern maine,university of southern maine,university of southern maine",university of southern maine
"U14125,athens university of economics and business,athens university of economics and business,athens university of economics and business,athens university of economics and business,athens university of economics and business,southwestern university,southwestern university,southwestern university,southwestern university",southwestern university
"U15329,university of engineering and technology rajshahi,university of engineering and technology rajshahi,university of engineering and technology rajshahi,university of engineering and technology rajshahi,university of engineering and technology rajshahi,huazhong university of science and technology,huazhong university of science and technology,athens university of economics and business,athens university of economics and business",athens university of economics and business
"U22030,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of engineering and technology rajshahi,university of engineering and technology rajshahi,university of engineering and technology rajshahi,university of engineering and technology rajshahi",university of engineering and technology rajshahi
"U24080,peking university,peking university,peking university,peking university,peking university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U1045,southern illinois university carbondale,southern illinois university carbondale,southern illinois university carbondale,southern illinois university carbondale,southern illinois university carbondale,peking university,peking university,peking university,peking university",peking university
"U1045,university of philippines,university of philippines,university of philippines,university of philippines,university of philippines,southern illinois university carbondale,southern illinois university carbondale,southern illinois university carbondale,southern illinois university carbondale",southern illinois university carbondale
"U1045,philippine science high school,philippine science high school,philippine science high school,philippine science high school,philippine science high school,university of philippines,university of philippines,university of philippines,university of philippines",university of philippines
"U16132,peking university,peking university,peking university,peking university,peking university,philippine science high school,philippine science high school,philippine science high school,philippine science high school",philippine science high school
"U27618,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,peking university,peking university,peking university,peking university",peking university
"U15349,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U27661,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology",bangladesh university of engineering and technology
"U22011,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U27758,tongji university,tongji university,tongji university,tongji university,tongji university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U9130,academy of fine arts in lodz,academy of fine arts in lodz,academy of fine arts in lodz,,academy of fine arts in lodz,tongji university,tongji university,tongji university,tongji university",tongji university
"U16141,beijing university of technology,beijing university of technology,beijing university of technology,beijing university of technology,beijing university of technology,academy of fine arts in lodz,academy of fine arts in lodz,academy of fine arts in lodz,academy of fine arts in lodz",academy of fine arts in lodz
"U9660,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,huazhong university of science and technology,huazhong university of science and technology,huazhong university of science and technology,huazhong university of science and technology",beijing university of technology
"U15311,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U7092,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology",bangladesh university of engineering and technology
"U22843,chaitanya bharathi institute of technology.,chaitanya bharathi institute of technology.,chaitanya bharathi institute of technology.,chaitanya bharathi institute of technology.,chaitanya bharathi institute of technology.,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U15944,indian institute of technology kharagpur,indian institute of technology kharagpur,indian institute of technology kharagpur,indian institute of technology kharagpur,indian institute of technology kharagpur,chaitanya bharathi institute of technology.,chaitanya bharathi institute of technology.,chaitanya bharathi institute of technology.,chaitanya bharathi institute of technology.",chaitanya bharathi institute of technology.
"U1259,northern illinois university dekalb il,northern illinois university dekalb il,northern illinois university dekalb il,northern illinois university dekalb il,northern illinois university dekalb il,indian institute of technology kharagpur,indian institute of technology kharagpur,indian institute of technology kharagpur,indian institute of technology kharagpur",indian institute of technology kharagpur
"U10051,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,northern illinois university dekalb il,northern illinois university dekalb il,northern illinois university dekalb il,northern illinois university dekalb il",northern illinois university dekalb il
"U19842,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U4634,punjab engineering college,punjab engineering college,punjab engineering college,punjab engineering college,punjab engineering college,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U1220,bates college,bates college,bates college,bates college,bates college,punjab engineering college,punjab engineering college,punjab engineering college,punjab engineering college",punjab engineering college
"U14068,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,bates college,bates college,bates college,bates college",bates college
"U14068,athens university of economics and business,athens university of economics and business,athens university of economics and business,athens university of economics and business,athens university of economics and business,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U16127,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,huazhong university of science and technology,huazhong university of science and technology,athens university of economics and business,athens university of economics and business",athens university of economics and business
"U1068,rider university,rider university,rider university,rider university,rider university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U1068,university of richmond,university of richmond,university of richmond,university of richmond,university of richmond,rider university,rider university,rider university,rider university",rider university
"U27691,national taiwan normal university,national taiwan normal university,national taiwan normal university,national taiwan normal university,national taiwan normal university,university of richmond,university of richmond,university of richmond,university of richmond",university of richmond
"U4638,zhejiang university,zhejiang university,zhejiang university,zhejiang university,,national taiwan normal university,national taiwan normal university,national taiwan normal university,national taiwan normal university",national taiwan normal university
"U7294,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,,,,",
"U7295,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U24062,tsinghua university,tsinghua university,tsinghua university,tsinghua university,tsinghua university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U7338,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,tsinghua university,tsinghua university,tsinghua university,tsinghua university",tsinghua university
"U1252,wellesley college,wellesley college,wellesley college,wellesley college,wellesley college,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U27636,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,wellesley college,wellesley college,wellesley college,wellesley college",wellesley college
"U15168,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university,shanghai jiao tong university",shanghai jiao tong university
"U14665,beihang university,beihang university,beihang university,beihang university,beihang university,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U1147,trinity college-hartford,trinity college-hartford,trinity college-hartford,trinity college-hartford,trinity college-hartford,beihang university,beihang university,beihang university,beihang university",beihang university
"U24117,tsinghua university,tsinghua university,tsinghua university,tsinghua university,tsinghua university,trinity college-hartford,trinity college-hartford,trinity college-hartford,trinity college-hartford",trinity college-hartford
"U8699,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,tsinghua university,tsinghua university,tsinghua university,tsinghua university",tsinghua university
"U27617,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras,indian institute of technology madras",indian institute of technology madras
"U22088,macmurray college,macmurray college,macmurray college,macmurray college,macmurray college,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U22072,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,macmurray college,macmurray college,macmurray college,macmurray college",macmurray college
"U18983,renmin university of china,renmin university of china,renmin university of china,renmin university of china,renmin university of china,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U8900,berean school of bible springfield illinois,berean school of bible springfield illinois,berean school of bible springfield illinois,berean school of bible springfield illinois,berean school of bible springfield illinois,renmin university of china,renmin university of china,renmin university of china,renmin university of china",renmin university of china
"U7117,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,berean school of bible springfield illinois,berean school of bible springfield illinois,berean school of bible springfield illinois,berean school of bible springfield illinois",berean school of bible springfield illinois
"U13968,north central college,north central college,north central college,north central college,north central college,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at urbana-champaign
"U21998,university of illinois at chicago,university of illinois at chicago,university of illinois at chicago,university of illinois at chicago,university of illinois at chicago,north central college,north central college,north central college,north central college",north central college
"U2746,beijing institute of technology,beijing institute of technology,beijing institute of technology,beijing institute of technology,beijing institute of technology,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign,university of illinois at urbana-champaign",university of illinois at chicago
"U15299,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,beijing institute of technology,beijing institute of technology,beijing institute of technology,beijing institute of technology",beijing institute of technology
